"TOA5","5964","CR1000","5964","CR1000.Std.32.05","CPU:cbFLX.CR1","33758","CambridgeFAST"
"TIMESTAMP","RECORD","U","V","W","Ts","DiagSAT","CO2","H2O","Tin","Tout","Press","CO22","H2O2"
"TS","RN","m/s","m/s","m/s","deg C","","mmolm-3","mmolm-3","deg C","deg C","kPa","mmolm-3","mmolm-3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-13 21:17:57.5",2314513,-2.20225,-4.98575,0.9775,-0.178009,62,17.90283,49.61035,3.825527,3.235148,97.89899,19.14364,225.1163
"2023-05-13 21:17:57.55",2314514,-2.11425,-4.8735,0.58525,-0.1516418,63,17.91113,49.73082,3.829418,3.237745,97.88508,19.14364,225.2257
"2023-05-13 21:17:57.6",2314515,-2.30375,-4.67075,0.9755,-0.08734131,0,17.90765,49.68947,3.822933,3.245533,97.8974,19.12722,225.8824
"2023-05-13 21:17:57.65",2314516,-1.45375,-5.2735,0.835,-0.07577515,1,17.91375,49.86536,3.826824,3.246831,97.89984,19.13543,225.7729
"2023-05-13 21:17:57.7",2314517,-1.56475,-4.3045,0.55,-0.2851563,2,17.91224,49.74042,3.829418,3.22736,97.89398,19.16006,223.803
"2023-05-13 21:17:57.75",2314518,-1.59675,-4.711,0.7285,-0.3510742,3,17.9144,49.86634,3.811261,3.235148,97.89155,19.11081,225.6635
"2023-05-13 21:17:57.8",2314519,-2.0745,-3.41925,1.95025,-0.02633667,4,17.90777,49.86561,3.816449,3.229956,97.87581,19.1026,227.4145
"2023-05-13 21:17:57.85",2314520,-2.3215,-4.869,0.271,-0.1170349,5,17.90358,49.82775,3.822933,3.245533,97.89581,19.12722,226.9768
"2023-05-13 21:17:57.9",2314521,-2.17,-4.96775,1.024,-0.2834778,6,17.89937,49.76491,3.819043,3.207887,97.90948,19.14364,226.9768
"2023-05-13 21:17:57.95",2314522,-1.44,-5.99625,1.208,-0.2637329,7,17.91109,49.48064,3.818917,3.241514,97.8974,19.13543,224.0219
"2023-05-13 21:17:58",2314523,-1.7325,-5.197,0.9765,-0.1862488,8,17.91043,49.73528,3.808667,3.237745,97.8996,19.14364,218.6594
"2023-05-13 21:17:58.05",2314524,-1.525,-5.08925,0.98875,-0.2900696,9,17.91459,49.78404,3.808667,3.223465,97.89558,19.15185,221.1765
"2023-05-13 21:17:58.1",2314525,-2.4945,-4.9415,0.8577501,-0.3593445,10,17.9119,49.73326,3.80737,3.239043,97.89899,19.13543,224.1313
"2023-05-13 21:17:58.15",2314526,-2.1745,-4.6825,0.772,-0.229126,11,17.90324,49.896,3.812558,3.222167,97.90143,19.11901,220.0821
"2023-05-13 21:17:58.2",2314527,-1.63125,-5.25325,0.83775,-0.1467285,12,17.90884,49.78888,3.811261,3.236446,97.90264,19.12722,225.9918
"2023-05-13 21:17:58.25",2314528,-2.949,-5.35325,0.90475,0.05117798,13,17.90666,49.71846,3.811261,3.229956,97.90082,19.13543,225.6635
"2023-05-13 21:17:58.3",2314529,-1.74725,-5.51275,1.11025,-0.2357178,14,17.90708,49.64294,3.812558,3.224763,97.89838,19.11901,218.6594
"2023-05-13 21:17:58.35",2314530,-2.05675,-5.2095,1.19475,-0.09393311,15,17.90528,49.60919,3.821511,3.224638,97.90301,19.11901,217.565
"2023-05-13 21:17:58.4",2314531,-1.2415,-5.9,0.6865,-0.3955688,16,17.913,49.6431,3.809964,3.22736,97.89716,19.14364,220.0821
"2023-05-13 21:17:58.45",2314532,-0.99375,-5.706,0.446,-0.1170349,17,17.91126,49.8238,3.825402,3.218147,97.88142,19.14364,219.0971
"2023-05-13 21:17:58.5",2314533,-1.04625,-5.609,1.0855,-0.1911926,18,17.91357,49.81476,3.831886,3.219445,97.88142,19.12722,219.316
"2023-05-13 21:17:58.55",2314534,-1.10775,-5.58625,0.90175,-0.3197327,19,17.90756,49.71502,3.80076,3.216849,97.89533,19.12722,220.301
"2023-05-13 21:17:58.6",2314535,-2.0965,-5.9815,0.5765,-0.2043762,20,17.9036,49.75349,3.811261,3.22736,97.89594,19.13543,221.6142
"2023-05-13 21:17:58.65",2314536,-0.82425,-4.9565,0.6407501,-0.3856812,21,17.90393,49.75688,3.81373,3.216849,97.90118,19.12722,219.9727
"2023-05-13 21:17:58.7",2314537,-1.2165,-5.60925,0.12125,-0.2818298,22,17.90684,49.68329,3.817746,3.239043,97.89375,19.13543,219.2066
"2023-05-13 21:17:58.75",2314538,-0.74,-5.5505,0.28125,-0.2917175,23,17.91436,49.54225,3.809964,3.231254,97.89899,19.12722,217.2367
"2023-05-13 21:17:58.8",2314539,-0.942,-5.69675,0.40525,-0.1665039,24,17.90877,49.7923,3.821637,3.220869,97.88508,19.11901,218.7688
"2023-05-13 21:17:58.85",2314540,-0.5565,-4.9265,0.7475001,-0.229126,25,17.91014,49.89556,3.80348,3.224763,97.89838,19.13543,219.7538
"2023-05-13 21:17:58.9",2314541,-0.8095,-4.977,0.61225,-0.1170349,26,17.90653,49.76856,3.838371,3.233725,97.8968,19.16006,222.052
"2023-05-13 21:17:58.95",2314542,-2.0555,-4.693,1.10775,-0.2868042,27,17.91262,49.91066,3.826699,3.235023,97.89276,19.12722,220.4104
"2023-05-13 21:17:59",2314543,-1.36075,-5.3975,0.6810001,-0.1054688,28,17.90334,49.60025,3.82423,3.239043,97.89581,19.12722,221.1765
"2023-05-13 21:17:59.05",2314544,-1.39375,-4.916,0.444,-0.2060242,29,17.90857,49.63322,3.826699,3.237619,97.89862,19.12722,221.6142
"2023-05-13 21:17:59.1",2314545,-0.94175,-5.25125,0.68325,-0.1648254,30,17.90675,49.56709,3.820214,3.222042,97.90203,19.13543,221.1765
"2023-05-13 21:17:59.15",2314546,-1.613,-4.435,-0.017,-0.2884521,31,17.91296,49.80791,3.817621,3.242812,97.90082,19.11901,221.8331
"2023-05-13 21:17:59.2",2314547,-1.10075,-5.594,0.2925,-0.2538147,32,17.91522,49.68367,3.822933,3.226061,97.89155,19.13543,223.6936
"2023-05-13 21:17:59.25",2314548,-3.48675,-5.1825,0.65425,-0.09887695,33,17.90629,49.87219,3.809839,3.229831,97.89094,19.16006,223.1464
